model,model_display,subgroup,AUC_mean,AUC_std,F1_mean,F1_std,Sensitivity_mean,Sensitivity_std,Precision_mean,Precision_std,MCC_mean,MCC_std
decision_tree,Decision Tree,Hemorrhage,0.7993705320180731,0.07245922883209753,0.6076669661575321,0.07011902842736994,0.7114502164502164,0.07697363509420498,0.5329667644183773,0.07612553719018386,0.4313970234192902,0.12321100319406757
decision_tree,Decision Tree,Overall,0.8121851326140928,0.05267294270526985,0.6275966339044837,0.06273923558230178,0.7257619738751815,0.069321572992973,0.5581480798006988,0.08368869928046789,0.4566920703292302,0.09936469982012187
decision_tree,Decision Tree,TBI,0.85596642168981,0.09276588582696793,0.6611823828345568,0.11814914525359295,0.7543345543345543,0.17461897005834995,0.6066633366633367,0.1463584690964142,0.4955269338218514,0.187570146871242
decision_tree,Decision Tree,Tumor,0.7787765241597995,0.08306380707988029,0.605393089162979,0.12947454261236543,0.6777777777777778,0.1442205797287057,0.5611721332316298,0.16248314657129193,0.42987146236715656,0.1641284439153656
fttransformer,FT-Transformer,Hemorrhage,0.7954175562377571,0.0779211409955156,0.5199832236417602,0.2518624250475918,0.5202294372294373,0.28260811614952086,0.6095212630506748,0.09658347551803713,0.41084878341778175,0.19745688658672828
fttransformer,FT-Transformer,Overall,0.7870781903701058,0.07674344018851845,0.5202671933642954,0.23945703861013956,0.5272133526850509,0.28620467008060796,0.5847564641721645,0.10480323662531647,0.3955276957759431,0.1941958005178114
fttransformer,FT-Transformer,TBI,0.7764595127788532,0.1101514896107134,0.462964782964783,0.2846375953115686,0.5087912087912088,0.35431490501061097,0.4508057160231074,0.27170070976690536,0.3003540036480218,0.23634855409239167
fttransformer,FT-Transformer,Tumor,0.7433830140493904,0.06340787569974458,0.5067187507189164,0.2414087503230795,0.49563492063492065,0.27402384785359796,0.6,0.10865337342004416,0.3750100697001763,0.18860106623963666
gbdt,GBDT,Hemorrhage,0.8789936747546477,0.04604330484302765,0.6755504960156122,0.06849800525142646,0.600978354978355,0.12031294345471243,0.7951725905673274,0.0599084004227045,0.5923451841645143,0.06277442445459377
gbdt,GBDT,Overall,0.8804168303693558,0.01617292223638224,0.6894580526277716,0.05379346339418097,0.6118287373004354,0.0867883267388398,0.7996800305155262,0.031463631302016536,0.599706683336428,0.048656858426661086
gbdt,GBDT,TBI,0.9072897464576626,0.0605443508299006,0.7577384933906673,0.07737590640337808,0.6826007326007326,0.05141107526187501,0.86,0.1422048600513436,0.6709771398664035,0.12211295968123541
gbdt,GBDT,Tumor,0.8416308917179997,0.031658454461303394,0.6298136645962733,0.11095840575329102,0.5365079365079366,0.1279365787102487,0.7798268398268398,0.052910988666350266,0.5362416571664059,0.09013283475448149
light_amformer,Lightweight AMFormer,Hemorrhage,0.8933868140496909,0.03751617430488694,0.7028009880074961,0.07389840314777806,0.7704415584415585,0.12112697380399054,0.6493037135278514,0.039267018322700256,0.5830103521558112,0.10116512299974417
light_amformer,Lightweight AMFormer,Overall,0.8928645683746005,0.027327014258170704,0.7197612980309696,0.055900408792385996,0.8055152394775037,0.08206910322173379,0.6516800952754617,0.042710887066883016,0.5979348919195788,0.07900713015113175
light_amformer,Lightweight AMFormer,TBI,0.8837008221940756,0.07886172375466118,0.7364296066252588,0.10962703302716414,0.8297313797313798,0.0986464901302261,0.6672466422466423,0.1278487072753453,0.6070861635833842,0.16014055316073716
light_amformer,Lightweight AMFormer,Tumor,0.8554406525116456,0.02538119130637611,0.6721295993607207,0.0931748124844773,0.745436507936508,0.09482279656708731,0.6132631578947368,0.09506551174608857,0.522802114559429,0.1279912258808958
logistic,Logistic Regression,Hemorrhage,0.8711212243306374,0.04181596543233484,0.6888717631574774,0.03668403279228752,0.7632554112554113,0.07489324123379944,0.6319868637110015,0.043684703881700974,0.561568174326159,0.04917463413344533
logistic,Logistic Regression,Overall,0.8716610489301301,0.02906283239132654,0.6955123398130441,0.03471833948913201,0.7833817126269956,0.06006806104615593,0.6267620069666836,0.029695912640771715,0.5612104815251705,0.049508723893648715
logistic,Logistic Regression,TBI,0.8740715181869604,0.06625600356532807,0.7019762845849803,0.0786935384397349,0.8154456654456654,0.11902092622070748,0.6318569150148098,0.1256390992111659,0.5554431443167365,0.13057366936062423
logistic,Logistic Regression,Tumor,0.8385392158584667,0.03339533957303002,0.6946037796971584,0.03564552843213293,0.7579365079365079,0.04585544543222049,0.6462337662337662,0.0694925883976619,0.5557714979576295,0.06696183166594585
pga_amformer,PGA-AMFormer,Hemorrhage,0.909457873091006,0.021815571016133677,0.6540975280272292,0.0470596821497877,0.9497668997668998,0.046122785102734015,0.4999798187823917,0.0484519169214752,0.5370078796240956,0.06739597624510185
pga_amformer,PGA-AMFormer,Overall,0.9118507466121001,0.031782000999458285,0.6951167942943443,0.021640269610372607,0.9545718432510885,0.03423685405022815,0.5466698396423467,0.01747567935005558,0.574153599860144,0.038082389787594546
pga_amformer,PGA-AMFormer,TBI,0.9483706284859984,0.03393436033593088,0.7329380641145347,0.08451851257937118,1.0,0.0,0.5837254901960784,0.09884861959738794,0.6451165410435553,0.06590240101800478
pga_amformer,PGA-AMFormer,Tumor,0.9008945035260825,0.04413821140371754,0.6816783216783217,0.06756019298572044,0.9464473684210526,0.0515925398309192,0.5359138980878111,0.0796229445185039,0.5689070940406952,0.0680294277374807
random_forest,Random Forest,Hemorrhage,0.879062078822523,0.036107330556368195,0.6703577495105095,0.0719578309039198,0.5918787878787879,0.11722190199394565,0.7876336898395722,0.02819754518098606,0.5836478984707199,0.07719383064264976
random_forest,Random Forest,Overall,0.8796553124470009,0.012003494702985328,0.675531454060944,0.06011429472488544,0.5890420899854861,0.08248777748220537,0.7984581272386151,0.017952942491205885,0.5854351376347585,0.058795863687688424
random_forest,Random Forest,TBI,0.9102333587341084,0.0659512494438334,0.7154988558352403,0.06363994746009818,0.6127594627594628,0.04460081977681866,0.8664935064935065,0.1280337702120977,0.6288709074520085,0.10552245150321309
random_forest,Random Forest,Tumor,0.8360486232872992,0.031492813397478996,0.5973364598364598,0.1883368728271748,0.5115079365079366,0.18301165045928003,0.7389610389610389,0.16690964466502856,0.49835270588877983,0.18816635015665692
xgboost,XGBoost,Hemorrhage,0.8671163478098961,0.044358258653954076,0.6966666666666667,0.07279155933974155,0.6810216450216451,0.09285643951741218,0.7197208588512936,0.08344515301447093,0.5880048273975433,0.09727619600751115
xgboost,XGBoost,Overall,0.8707536431483074,0.01848463837854704,0.6981237449467768,0.025315211660205044,0.6730043541364296,0.030923225562002665,0.7261938108576764,0.03461996578199869,0.5837659349676352,0.03517420806457722
xgboost,XGBoost,TBI,0.9004197118889772,0.07267143610854161,0.7474825174825175,0.08658362175471826,0.7646520146520146,0.1350693797170326,0.7527272727272727,0.1439090877186266,0.6411785341377781,0.1306124509745836
xgboost,XGBoost,Tumor,0.8327525431728393,0.028479146069226066,0.6254135338345865,0.08327623498481135,0.571031746031746,0.07862564767882736,0.6942577030812325,0.10183190133620215,0.4960328387932716,0.09577398116900741
